id,url,region,region_url,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,image_url,description,lat,long,state
7047304753,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7047304753.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046716050,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7046716050.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046715370,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7046715370.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046714915,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7046714915.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046714362,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7046714362.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046713859,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7046713859.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046713084,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046713084.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046712461,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046712461.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046711724,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046711724.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046711193,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046711193.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046710660,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046710660.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046710033,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046710033.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046707952,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046707952.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046707130,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046707130.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046706284,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046706284.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7046705357,https://albanyga.craigslist.org/apa/d/albany-the-reserve-1200/7046705357.html,albany,https://albanyga.craigslist.org,521,apartment,595,1,1,1,1,1,0,0,0,laundry on site,off-street parking,https://images.craigslist.org/00X0X_XsEWPFYKuV_600x450.jpg,"Welcome Home! Ask for Stephane Welcome to Gardens Too a residential community featuring One bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045130775,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7045130775.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
7045115335,https://albanyga.craigslist.org/apa/d/albany-the-reserve-at-1404/7045115335.html,albany,https://albanyga.craigslist.org,721,apartment,1111,2,1.5,1,1,1,0,0,0,w/d hookups,off-street parking,https://images.craigslist.org/00N0N_dyhuJ0VlCh6_600x450.jpg,"Welcome Home! Ask for Melissa Welcome to The Reserve 1404 a residential community featuring two and three bedroom apartments in Albany GA. Spacious layouts and amenities welcome you home, along with exceptional service and an ideal location within walking distance to shopping, dining and entertainment options.",31.5789,-84.2118,ga
